,time,cell,cell_state,IFNg,transferable_cytotoxic_packets,X,Y,experiment_id
154,1800.0,tcell_34,PD1p,0.05994849604034174,39.600000000000016,!units[856.005127490838 micrometer],!units[683.2509603423545 micrometer],tumor_tcell_20230626.211422
155,1800.0,tcell_35,PD1p,0.6207102416300692,400.0,!units[533.377654246604 micrometer],!units[857.8643330803723 micrometer],tumor_tcell_20230626.211422
156,1800.0,tcell_36,PD1p,0.2070422401793056,400.0,!units[765.445107496951 micrometer],!units[417.91347532450305 micrometer],tumor_tcell_20230626.211422
157,1800.0,tcell_37,PD1p,0.3755481721559084,400.0,!units[487.97209881370395 micrometer],!units[839.5108498579159 micrometer],tumor_tcell_20230626.211422
158,1800.0,tcell_38,PD1p,0.16157895162069438,400.0,!units[764.8876157879613 micrometer],!units[807.4590144038209 micrometer],tumor_tcell_20230626.211422
159,1800.0,tcell_39,PD1p,0.14913658352571135,0.0,!units[448.6774070234932 micrometer],!units[807.1860104572863 micrometer],tumor_tcell_20230626.211422
160,2400.0,tcell_0,PD1n,1.7393475607026063,400.0,!units[826.0459536535287 micrometer],!units[587.4860610099896 micrometer],tumor_tcell_20230626.211422
161,2400.0,tcell_1,PD1n,0.11640015773654494,400.0,!units[716.2651843402297 micrometer],!units[387.5808435767594 micrometer],tumor_tcell_20230626.211422
162,2400.0,tcell_2,PD1n,0.9375369192193161,6.900000000000004,!units[605.3468764144474 micrometer],!units[872.7613256667581 micrometer],tumor_tcell_20230626.211422
163,2400.0,tcell_3,PD1n,1.6924768523633285,400.0,!units[939.8194108459887 micrometer],!units[534.7023064253619 micrometer],tumor_tcell_20230626.211422
164,2400.0,tcell_4,PD1n,0.005616096805742688,67.50000000000003,!units[508.70597422723074 micrometer],!units[347.2971426995285 micrometer],tumor_tcell_20230626.211422
165,2400.0,tcell_5,PD1n,1.7093942608433337,400.0,!units[559.046763819343 micrometer],!units[871.4662894546944 micrometer],tumor_tcell_20230626.211422
166,2400.0,tcell_6,PD1n,0.3017033017303496,156.90000000000006,!units[569.9971720024172 micrometer],!units[817.8351435439397 micrometer],tumor_tcell_20230626.211422
167,2400.0,tcell_7,PD1n,0.23283211854577998,400.0,!units[484.7717905198022 micrometer],!units[857.8212868281489 micrometer],tumor_tcell_20230626.211422
168,2400.0,tcell_8,PD1n,1.401007056393428,400.0,!units[631.4202250094529 micrometer],!units[388.5318910961843 micrometer],tumor_tcell_20230626.211422
169,2400.0,tcell_9,PD1p,1.0325119304742238,400.0,!units[844.608830643975 micrometer],!units[592.1082020086073 micrometer],tumor_tcell_20230626.211422
