,time,cell,cell_state,tumor_debris,X,Y,experiment_id
93,27000.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
94,27600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
95,27600.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
96,28200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
97,28200.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
98,28800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
99,28800.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
100,29400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
101,29400.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
102,30000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
103,30000.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
104,30600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
105,30600.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
106,31200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
107,31200.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
108,31800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
109,31800.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
110,32400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
111,32400.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
112,33000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
113,33000.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
114,33600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
115,33600.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
116,34200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
117,34200.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
118,34800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
119,34800.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
120,35400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
121,35400.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
122,36000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
123,36000.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
124,36600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
125,36600.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
126,37200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
127,37200.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
128,37800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
129,37800.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
130,38400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
131,38400.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
132,39000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
133,39000.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
134,39600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
135,39600.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
136,40200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
137,40200.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
138,40800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
139,40800.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
140,41400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
141,41400.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
142,42000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
143,42000.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
144,42600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
145,42600.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
146,43200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
147,43200.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
148,43800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
149,43800.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
150,44400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
151,44400.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
152,45000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
153,45000.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
154,45600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
155,45600.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
156,46200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
157,46200.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
158,46800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
159,46800.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
160,47400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
161,47400.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
162,48000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
163,48000.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
164,48600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
165,48600.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
166,49200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
167,49200.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
168,49800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
169,49800.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
170,50400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
171,50400.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
172,51000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
173,51000.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
174,51600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
175,51600.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
176,52200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
177,52200.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
178,52800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
179,52800.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
180,53400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
181,53400.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
182,54000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
183,54000.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
184,54600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
185,54600.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
186,55200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
187,55200.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
188,55800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
189,55800.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
190,56400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
191,56400.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
192,57000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
193,57000.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
194,57600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
195,57600.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
196,58200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
197,58200.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
198,58800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
199,58800.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
